,Category,Document Title,Authors,Publication Title,Publication Year,Abstract,Author Keywords,IEEE Terms,Document Identifier
272,"['Security (S)', 'Others (O)']",Rent'n'Produce: A Secure Cloud Manufacturing Platform for Small and Medium Enterprises,"['C. Ellwein', ' O. Riedel', ' O. Meyer', ' D. Schel']","2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",2018,"The manufacturing landscape is subject to change due to current trends as digitalization, the industrial internet of things and cloud manufacturing. Especially the cloud manufacturing paradigm does effect job order production and contract manufacturing. While these paradigm does simplify communication between contractors security and privacy issues have been identified as one of the biggest obstacles in prior research. Within this paper this obstacle is targeted; a platform to close this gap is outlined.",Cloud Manufacturing;Security;Industrial IoT;OPC UA Gateway,Manufacturing;Cloud computing;Production;Security;Companies;Internet of Things;Interviews,IEEE Conferences
273,"['Product Development (PD)', 'Theory (T)']",An approach for an industrial information model management,"['S. Schmied', ' D. GroÃŸmann', ' S. G. Mathias', ' R. Klaus Mueller']",2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS),2020,"An overall information model of an industrial cyberphysical system consists of different sub information models. These sub information models contain attributes and methods that describe parts of the overall information model such as a machine or an order. Every entity within a company has varying requirements in terms of information it needs to represent, or read from the information model. In contrary, especially in environments with a large number of system entities, it is necessary to standardize the information models as much as possible to optimize economic and performance potentials. To address this challenge this paper presents an approach for information model management. This is done via the creation of rules for information modelling and the forming of an enterprise specific information model library.",Information Modelling;Cyber Physical System;OPC UA,Object oriented modeling;Standards;Companies;Biological system modeling;Libraries;XML;Semantics,IEEE Conferences
274,"['Protocol Comparison (PC)', 'Performance Analysis (PA)']",Industrial Messaging Middleware: Standards and Performance Evaluation,"['G. Andrei', ' B. Marlen', ' T. Sergey', ' K. Krinkin']",2020 IEEE 14th International Conference on Application of Information and Communication Technologies (AICT),2020,"In our world due to rapid development of automotive systems, robotic systems and increasing amounts of data the question is what are the requirements for data transfer software or middleware. This document describes and compares main standards that are used in various systems of the industry. The analysis of opportunities which every standard provides is carried out. In this work, there were developed methods for testing some data transfer characteristics and tested two DDS implementations and one AMQP in inter-process communication.",OPC UA;DDS;AMQP;TSN;middleware;autonomous systems;self-driving vehicles;industrial standards,Service robots;Data transfer;Reliability engineering;Real-time systems;Servers;Standards;Testing,IEEE Conferences
275,"['Diagnostic and Monitoring (DM)', 'Others (O)']",A Cost-Efficient and Continuous Ethernet Cable Diagnosis Technique based on Undersampling,"['A. Y. Kallel', ' S. Uziel', ' M. Schappacher', ' A. Sikora', ' T. Keutel', ' O. Kanoun']",2019 10th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),2019,"The monitoring of industrial environments ensures that highly automated processes run without interruption. However, even if the industrial machines themselves are monitored, the communication lines are currently not continuously monitored in todays installations. They are checked usually only during maintenance intervals or in case of error. In addition, the cables or connected machines usually have to be removed from the system for the duration of the test. To overcome these drawbacks, we have developed and implemented a cost-efficient and continuous signal monitoring of Ethernet-based industrial bus systems. Several methods have been developed to assess the quality of the cable. These methods can be classified to either passive or active. Active methods are not suitable if interruption of the communication is undesired. Passive methods, on the other hand, require oversampling, which calls for expensive hardware. In this paper, a novel passive method combined with undersampling targeting cost-efficient hardware is proposed.",MLT-3;Undersampling;Fast Ethernet;Signal Monitoring;OPC UA,Monitoring;Impedance;Communication cables;Hardware;Resistance;Prototypes;Signal analysis,IEEE Conferences
276,['Performance Analysis (PA)'],Machine OEE Monitoring and Analysis for a Complex Manufacturing Environment,"['J. Zhou', ' Y. Wang', ' Y. Q. Chua']",2020 15th IEEE Conference on Industrial Electronics and Applications (ICIEA),2020,"OEE (overall equipment effectiveness) is a well-established KPI metrics to measure the equipment effectiveness. OEE has been widely used for many industry as a quantitative tool for measuring productivity. The biggest challenge in the OEE implementation is due to the complexity of the plant with many variety of machines. In this paper, we present a unified OEE data collection method that is able to connect both brown field legacy machines and green field machines. An integrated OEE monitoring system architecture is proposed for large scale of implementation. A case study demonstrates the successful implementation of the OEE system for the productivity improvement.",OEE;OPC UA MQTT;Machine Utilization Data Acquisition;brown field;green field. productivity Improvement,Productivity;Measurement;Industries;Systems architecture;Tools;Manufacturing;Monitoring,IEEE Conferences
277,['Others (O)'],Skill-Based Engineering in Industrial Automation Domain: Skills Modeling and Orchestration,['K. Dorofeev'],2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2020,"Software engineering in the industrial automation domain requires generic methods to keep the development complexity at an acceptable level. However, nowadays various PLC vendors use different dialects of the standardized programming languages in their tools, which hinders the re-usability and interoperability across the platforms. The service-oriented approaches can serve to overcome interoperability issues. In distributed control systems, the functionality of an automation component can be offered to the other parties that constitute a production system via a standardized interface, easing the orchestration of the whole system. This paper proposes such a generic interface that hides away the low-level implementation details of a particular functionality and provides a common semantic model for the execution. Further, we show how using such an interface can help to support and automate the overall engineering process, combining the functionality of different components to fulfill a production task. The reference implementation of the proposed concept was used in an industrial demonstrator, which shows the benefits in the system flexibility due to components interoperability and re-usability compared to the traditional control approaches.",skills;skill-based engineering;OPC UA;industrial automation;orchestration,Automation;IEC Standards;Production;Software engineering;Interoperability;Conferences;Grippers,IEEE Conferences
278,['Others (O)'],Research on an Edge Computing Architecture for Industrial Applications,"['Y. Gong', ' Q. Zheng', ' Z. Wang']","2022 IEEE 2nd International Conference on Power, Electronics and Computer Applications (ICPECA)",2022,"In response to the industryâ€™s new needs for intelligent production, networked collaboration, personalized customization, and service-oriented transformation, this article studies on the special functions and performance indicators that edge computing equipment should have when applied in industry, proposes how to effectively use the open network, computing, and storage capabilities of edge computing at different network levels to provide an edge computing architecture that provides nearby edge intelligent services to be applied in industry. Taking the industrial process control optimization scenario as an example, the different uses of three edge computing devices are described, and the problems that can be solved by the application of industrial edge computing are explained. The industrial edge computing architecture described in this article can realize the cross-level transmission of data and provide an open and unified modeling capability for edge computing data, which is suitable for the design of new edge intelligent application scenarios in different industrial fields.",edge computing;industrial applications;OPC UA,Industries;Conferences;Systems architecture;Process control;Computer architecture;Production;Power electronics,IEEE Conferences
279,['Others (O)'],Research on uniform interface technology of radiotherapy equipment based on edge computing,"['Y. Gong', ' S. Xie', ' Y. Zhao']","2022 IEEE 2nd International Conference on Power, Electronics and Computer Applications (ICPECA)",2022,"This article starts with the introduction of data integration problems in the current radiotherapy process, analyzes the composition of the various systems involved in the radiotherapy process, provides a method for constructing a radiotherapy equipment data dictionary and a unified information model for the radiotherapy process, and provides a common semantic specification for data integration during the radiotherapy process. This research is helpful to realize the real-time collection and transmission of key information of radiotherapy equipment based on edge computing, realize the sharing of medical information on a larger scale, realize the comprehensive utilization of data in the process of radiotherapy to a greater extent, and improve the digitalized and networked level in the overall treatment process of radiotherapy.",OPC UA;DICOM;IHE-RO;edge computing,Analytical models;Dictionaries;Protocols;Computational modeling;Semantics;Data integration;Real-time systems,IEEE Conferences
280,['Others (O)'],Standardization of Edge Configuration,"['M. Rentschler', ' D. Rohrmus', ' U. LÃ¶wen', ' A. G. Gatterburg', ' B. Vojanec', ' A. Willner']",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2020,"The Industrial Internet of Things requires standardization of communication technologies and protocols applied in that context. An emerging architectural concept is the so called ""Edge"" and its associated components and applications. The Edge Computing paradigm requires standardization of interfaces to enable cross-vendor interoperability between the different involved products and across the architectural layers. The current results in this direction of the ""Labs Network Industrie 4.0"" pre-standardization testbed will be presented in this paper and a brief overview given on further organizations working on the standardization of implementations in the edge context.",Automation;Edge;Factory;Gateway;IT;OT;loT;IIoT;Industrie 4.0;OPC UA;REST,Industries;Protocols;Conferences;Standards organizations;Standardization;Organizations;Manufacturing automation,IEEE Conferences
281,"['Theory (T)', 'Integration (I)']",The Asset Administration Shell of Operator in the Platform of Industry 4.0,"['P. Marcon', ' C. Diedrich', ' F. Zezulka', ' T. SchrÃ¶der', ' A. Belyaev', ' J. Arm', ' T. Benesl', ' Z. Bradac', ' I. Vesely']",2018 18th International Conference on Mechatronics - Mechatronika (ME),2018,"We discuss the Asset Administration Shell (AAS) concept of Industry 4.0 (I4.0), characterizing the current status of industrial automation and outlining the advantages of more deeply digitized manufacturing where the AAS is employed. In the proposed analysis, the basic subjects are apply complemented with possible submodels and standards of the Asset Administration Shell (identification, communication, engineering, configuration, safety, security, life cycle status, energy efficiency, condition monitoring, and examples of AAS-based applications). An exemplary interaction pattern directed towards the domain, or specific submodels in the AAS, is also introduced in the given context. Further, the authors propose a specific digital example of an operator using a smart jacket.",asset administration shell;industry 4.0;MQTT;OPC UA;RAMI 4.0,Industries;Production;IEC Standards;Intelligent sensors;Safety;Manufacturing,IEEE Conferences
282,['Protocol Comparison (PC)'],Smart & automated production based on MQTT,"['C. Ãœberall', ' M. Bartholet', ' R. Khudaybergenov']","2021 International Conference on Smart Applications, Communications and Networking (SmartNets)",2021,"The automation of the production is needed to guarantee that the non-value-added activities are reduced to a minimum. Manufacturing systems like MES (Manufacturing Execution Systems) can plan production processes that consist of several production process steps. However, these systems cannot inform a production machine to continue or start the production process automatically. This paper will present a technique that covers this kind of problem by using the lightweight MQTT protocol. The presented research/system offers the possibility to implement an event-driven approach to enable automated production without solid knowledge in programming easily (e.g., PLC programming).",Industry 4.0;Smart Production;Industrial Internet of Things;Automation;MQTT;OPC UA;REST,Protocols;Production;Programming;Solids;Manufacturing systems;Industrial Internet of Things,IEEE Conferences
283,['Product Development (PD)'],Platform for Information Exchange in Versatile Production Systems,"['M. Vorderer', ' A. Verl', ' F. Kretschmer', ' T. Ringhoffer']",2018 25th International Conference on Mechatronics and Machine Vision in Practice (M2VIP),2018,"Productions are facing continuous changes and have to adapt to new challenges economically. Especially the assembly as last step within the production process, where all sub products are put together to the final product, is influenced by all preceding changes. A feasible solution can be found in increasing the versatility of the involved assembly processes in order to allow for better adaption. A fundamental criterion for versatility is compatibility, not only for electromechanical components, but also on the level of communication. This paper will present versatility applied to automated assembly systems as well as the involvement of communication and will propose a communication architecture. The architecture is based on the directory service â€œGelbe Seiten fÃ¼r Industrie 4.0â€. Besides the adaption of the information model to the needs of assembly systems, a systematic sequence of the communication and a software concept for the usage in automated assembly systems will be presented. The evaluation of the information model is done by applying it to a use case from the automotive assembly domain at the research campus ARENA2036.",architecture;communication system;data communication;information modeling;protocols;assembly systems;plug and produce;opc ua,Information exchange;Assembly systems;Automation;Task analysis;Service-oriented architecture,IEEE Conferences
298,['Product Development (PD)'],An Integrated Implementation Methodology of a Lifecycle-Wide Tracking Simulation Architecture,"['G. S. MartÃ\xadnez', ' T. A. Karhela', ' R. J. Ruusu', ' S. A. Sierla', ' V. Vyatkin']",IEEE Access,2018,"A tracking simulator is a decision support application in which dynamic estimation is used to continuously align the results of an online first principle simulation model with the measurements of the targeted plant. They are a holistic application where current and future plant information is available for operation support of process plants. Existing tracking simulators have focused on the application of online and offline methods for estimation of their underlying first principle models (FPMs). However, these systems have been less attractive than similar alternatives based on empirical modeling, due to the lack of systematic approaches that address challenges across the tracking simulation lifecycle, such as laborious development of FPMs and high integration costs with the process or with other systems and simulation methods. In contrast, the approach presented in this paper integrates a tracking simulation architecture and various simulation methods to address the described challenges as follows. In order to tackle timeconsuming development of FPMs, a method for generating tracking simulation models from models created during design phase is proposed. The process of connecting the tracking simulator to the physical plant and initializing the tracking simulator is automated. An optimization method for tracking simulation applications is developed to overcome drawbacks of available methods. The simulation architecture developed applies the proposed methodology during the various phases of tracking simulation. Furthermore, it exploits industrial communication standards to avoid the need for point-to-point integration of various simulators and other systems used over the course of the tracking simulator lifecycle. The work is demonstrated with laboratory process equipment.",Online simulation;OPC UA;process simulation;tracking simulation;simulation architecture,Adaptation models;Estimation;Predictive models;Process control;Monitoring;Target tracking;Optimization methods,IEEE Journals
299,['Security (S)'],Attack Detection in Cyber-Physical Production Systems using the Deterministic Dendritic Cell Algorithm,"['R. Pinto', ' G. GonÃ§alves', ' E. Tovar', ' J. Delsing']",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2020,"Cyber-Physical Production Systems (CPPS) are key enablers for industrial and economic growth. The introduction of the Internet of Things (IoT) in industrial processes represents a new revolution towards the Smart Manufacturing oncept and is usually designated as the 4th Industrial Revolution. Despite the huge interest from the industry to innovate their production systems, in order to increase revenues at lower costs, the IoT concept is still immature and fuzzy, which increases security related risks in industrial systems. Facing this paradigm and, since CPPS have reached a level of complexity, where the human intervention for operation and control is becoming increasingly difficult, Smart Factories require autonomic methodologies for security management and self-healing. This paper presents an Intrusion Detection System (IDS) approach for CPPS, based on the deterministic Dendritic Cell Algorithm (dDCA). To evaluate the dDCA effectiveness, a testing dataset was generated, by implementing and injecting various attacks on a OPC UA based CPPS testbed. The results show that these attacks can be successfully detected using the dDCA.",CPPS;OPC UA;IDS;DCA;AIS;Network Attacks,Industries;Production systems;Costs;Security management;Intrusion detection;Fourth Industrial Revolution;Internet of Things,IEEE Conferences
300,"['Product Development (PD)', 'Security (S)', 'Integration (I)']",The Industrie 4.0 Asset Administration Shell as Information Source for Security Analysis,"['F. Patzer', ' F. Volz', ' T. UslÃ¤nder', ' I. BlÃ¶cher', ' J. Beyerer']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"One of the essential concepts of the Reference Architecture Model Industrie 4.0 (RAMI4.0) is the uniform modelling of assets by means of a common meta-data model called the Asset Administration Shell (AAS). However, important practical experience with this concept is still missing, as not many use cases for the AAS have yet been implemented. Thus, practical issues within the AAS concept and respective solutions are hard to identify. In this paper, presents our experience with the implementation of an AAS use case. The AAS is used as information source to create an ontology, which is then used for security analysis. The paper discusses the use-case-specific modelling language selection and provides a practical examination of several of our implementations that use OWL and OPC UA together. Furthermore, it provides recommendations for the implementation of Asset Administration Shells for this and similar use cases.",Asset Administration Shell;Security Ontology;Ontology;OPC UA;Semantic Web;Industrial Systems,Security;Protocols;Data models;Analytical models;Tools;XML;Cognition,IEEE Conferences
301,['Others (O)'],Two-Layer Genetic Algorithm for the Charge Scheduling of Electric Vehicles,"['N. T. Milas', ' D. A. Mourtzis', ' P. I. Giotakos', ' E. C. Tatakis']",2020 22nd European Conference on Power Electronics and Applications (EPE'20 ECCE Europe),2020,"The advent of Electric Vehicles (EV) may introduce disturbances to the operation of the Power Grid, due to the great demands of electric power that is required during the simultaneous charging of large EV fleets. Towards this end, novel approaches for the management of the EV charging have been proposed in recent literature. Nevertheless, the implementation of a framework that allows flexibility in the definition of the decision-making objectives, along with user-defined criteria is still a challenge. Towards addressing this challenge, a framework for the smart charging of EVs is presented in this paper. The smart charging is facilitated by a two-layer Genetic Algorithm that operates in Charging Stations with various types of chargers that are connected to multiple charging points in a resource-sharing manner. The benefits of the proposed approach are the fast optimisation time, the inclusion of user-defined criteria, and the extraction of feasible solutions considering the availability of the chargers in the station. The communications between the EV and the Charging Station are facilitated by the Open Platform Communications-Unified Architecture (OPC-UA) standard. The proposed algorithm succeeds into finding competitive solutions even during charging scenarios with conflicting criteria.",Electric vehicle;Charge Scheduling;Genetic Algorithm;Optimisation;OPC-UA,Genetic algorithms;Task analysis;Job shop scheduling;Optimization;Vehicles;Europe;Charging stations,IEEE Conferences
302,"['Product Development (PD)', 'Integration (I)']",Dynamic integration of manual and automated biological process skills into MES,"['B. Christian', ' M. Adam', ' B. Philipp', ' H. Werner']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"The manual cultivation of biological cells is very time- and cost-intensive. The automation of these processes promises significant cost savings as well as the required transparency and quality of the results. Biological cell cultivation protocols are constantly being researched and modified, which enormously increases the flexibility requirements for the plant technology. An important aspect is the early consideration of different laboratory equipment and the possibility of step-by-step partial automation of biological processes. In the course of process development and automation, it helps that manually executed process parts can be transparently integrated into the higher-level process control before they are automated using suitable laboratory equipment. Furthermore, device failures can be replaced by manual process execution. This paper presents a method for mapping biological skills using OPC UA models and integrating them into automated plants.",automation;personalized medicine;cell culture processes;opc ua,Production;Automation;Computer architecture;Biological information theory;Manuals;Process control;Protocols,IEEE Conferences
303,['Others (O)'],Using a model-based engineering approach for developing Industrial Internet of Things applications,"['C. Binder', ' K. Polanec', ' F. Schweiberer', ' C. Neureiter', ' G. Lastro', ' A. LÃ¼der']",2020 IEEE International Symposium on Systems Engineering (ISSE),2020,"A new trend in the manufacturing sector, better known by the term â€œIndustry 4.0â€, will influence all areas and increase the complexity of production processes, product development, maintenance and disposal. The integration of information and communication technologies (ICT) and the advantages of the Industrial Internet of Things (IIoT) will result in automation processes aiming to optimize efficiency or reduce expenses. However, this results in the emergence of on-demand manufacturing as well as the provision of personalized goods and services, produced in the context of shortened innovation cycles. Ho wever, the downside of this trend is the uprising complexity that appears when engineering such systems. Thus, the Reference Architecture Model Industry 4.0 (RAMI 4.0) has been developed by several German associations in order to cope with the complexity of such cross-disciplinary systems. However, at the current point of view, this framework is exhibiting a gap between the architectural model and actual industrial applications. Thus, this paper introduces an approach proposing Round-trip Engineering (RTE) of previously modeled industrial system components. In order to do so, first the information and communication architecture is modeled according to the specifications of RAMI 4.0 and by utilizing OPC UA. Subsequently, the modeled components are generated and applied with the help of FREDOSAR, an open-source system architecture aimed for the application in such a complex system. In the end, data exchange between RAMI 4.0 and the industrial application is established by realizing a bidirectional interface, which is evaluated with a typical industrial case study.",System Architecture;OPC UA;Industrial Internet of Things (IIoT);Reference Architecture Model Industrie 4.0 (RAMI 4.0);Round-trip Engineering (RTE),Adaptation models;Computer architecture;Manufacturing;Production;Industries;Data models;Complexity theory,IEEE Conferences
310,['Others (O)'],Agile Operational Behavior for the Control-Level Devices in Plug&Produce Production Environments,"['K. Dorofeev', ' S. Profanter', ' J. Cabral', ' P. Ferreira', ' A. Zoitl']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"The ongoing manufacturing systems transformation from mass production towards mass customization requires more flexible engineering solutions than the existing ones. The recently proposed control architectures target, among other plug-and-produce features, a reduction of configuration times. This is relevant for building a new production line as well as for faster reconfiguration when adding new hardware and product variants to an existing manufacturing line. This paper identifies operational requirements for such reconfiguration scenarios and proposes a way to implement them using the concept of a device adapter. The device adapter contains a device description and constantly updates it following the reconfiguration changes happening in a manufacturing system. This allows not only to detect the changes in the hardware, which appear in the production system, using the device discovery mechanisms but also automatically adapt the software. Preliminary tests have been performed on a demonstrator that shows both virtual and physical executions combined in a single system. The proposed solution supports automatic hardware and software reconfiguration on-the-fly without a need to stop and restart the whole production system.",Reconfigurable Manufacturing Systems;Skill-Based Engineering;AutomationML;OPC UA,Workstations;Automation;Manufacturing systems;Software,IEEE Conferences
311,['Diagnostic and Monitoring (DM)'],The Design of a Digital-Twin for Predictive Maintenance,"['S. Centomo', ' N. Dallâ€™Ora', ' F. Fummi']",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2020,"Predictive maintenance in a manufacturing company is strategic, in order to maintain high production quality and to avoid unexpected production downtimes. In this scenario, the prediction of future machineries health status is necessary in order to plan maintenance cycles and to optimize the production. The proposed approach relies on the use of Electronic Design Automation (EDA) techniques mapped from the electronic domain to the production line domain. This paper proposes a general framework based on the EDA approach that allows to set-up a maintenance strategy by analyzing data retrieved from sensors. An MSM, is associated to each observable measurement, while a Supervisor monitors the current state of each Monitoring State Machine (MSM) by raising alerts when the monitored equipment is deviating from its normal behavior. This framework is the Digital-Twin of the plant devoted to its monitoring. It has some execution modalities ranging from online monitoring to predictive maintenance. The methodology has been applied to a mechanical transmission system showing its effectiveness.",Digital-Twin;Predictive Maintenance;Online Monitoring;Monitoring State Machine;OPC-UA;FMI,Production;Distance measurement;Manufacturing;Sensors;Object recognition;Machinery;Monitoring,IEEE Conferences
312,['Others (O)'],A Review of Asset Administration Shell,"['K. Wei', ' J. Z. Sun', ' R. J. Liu']",2019 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2019,"Industry 4.0 needs to dynamically adjust complex production lines made up of various assets. Asset Administration Shell (AAS) is a virtual representation of the assets of the Industry 4.0 era. It forms the industrial components under Industry 4.0 with the physical parts of the assets. This paper combs the research progress and challenges of AAS from 2016 with the theme of interoperability, modelling, and application, and looks forward to possible future research directions.",Asset Administration Shell (AAS);Industry 4.0;OPC UA;RAMI 4.0,,IEEE Conferences
313,['Diagnostic and Monitoring (DM)'],An open-source toolkit for retrofit industry 4.0 sensing and monitoring applications,"['K. A. Nsiah', ' M. Schappacher', ' C. Rathfelder', ' A. Sikora', ' V. Groza']",2018 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),2018,"The last several years have witnessed a paradigm shift in industry that has now ushered in the fourth industrial revolution era also referred to as Industry 4.0. This new technology promises major improvements in the industrial processes by connecting local and global networks for information exchange amongst smart machinery while integrating possibly all stages of the value chain. However, small and medium-sized enterprises (SMEs) still have many concerns about Industry 4.0 and about its potential benefits. This is generally as a result of high investment and conversion costs. An evaluation platform to test Industry 4.0 applications for enabling engineers and managers in identifying the potential benefits before making expensive decisions is attractive. With this aim, the authors present an extensible and customizable open source toolkit for the evaluation of Industry 4.0 applications by providing a complete set of capabilities from sensing of data at the shop floor to monitoring at the upper level of the enterprise.",Industry 4.0;toolkit;retrofit;OPC UA;sensing;monitoring;application,Logic gates;Protocols;Data models;Production facilities;Temperature measurement;Industries;Wireless sensor networks,IEEE Conferences
314,"['Others (O)', 'Protocol Comparison (PC)']",A simpler TSN? Traffic Scheduling vs. Preemption,"['A. Gogolev', ' P. Bauer']",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2020,"This paper extends research on TSN enablement for industrial automation, comparing the time-aware traffic shaping with the traffic (frame) preemption. Time-aware traffic shaping combined with tightly synchronized end devices enables data exchange cycles with Î¼s granularity and nanosecond jitter, but requires system-wide scheduling for all networked devices, which can be difficult in multi-hop networks. Frame preemption does not require scheduling, and is anticipated to simplify network configuration while providing similar guarantees in latency and jitter for high priority traffic. However, it is not yet clear just how deterministic frame preemption is in comparison with time-aware traffic shaping. This manuscript compares the two mechanisms in a real heavy-loaded TSN network.",TSN;OPC UA;IoT;IIoT;Real-Time;Networking;Industrial Automation;Qbv;Qbu;Qbr;Traffic Scheduling;Frame Preemption,Bridges;Schedules;Job shop scheduling;Quality of service;Spread spectrum communication;Jitter;Robustness,IEEE Conferences
315,"['Product Development (PD)', 'Integration (I)']",An Asset Administration Shell Method for Data Exchange Between Manufacturing Software Applications,"['X. Ye', ' M. Yu', ' W. S. Song', ' S. H. Hong']",IEEE Access,2021,"The multifaceted industrial application of cyber-physical systems (CPSs) has increased, enabling tight interactions between physical and computational elements. Industry 4.0 aims to promote industrial application of CPSs. The asset administration shell (AAS) represents the practical embodiment of the CPS, and can be obtained by integrating information and communication technologies. Most prior studies concentrated on AASs for hardware assets in the manufacturing domain; they seldom considered AASs for software applications. To fill this gap, we present a method for implementing AASs for software, i.e., a manufacturing execution system (MES) combined with an enterprise resource planning (ERP) system. This method allows runtime data exchange between an MES and ERP; this is better than the conventional file-based method. Finally, a data exchange case (a manufacturing order) is presented to validate our AAS method.",Asset administration shell;cyber-physical system;industry 4.0;data exchange;automationML;OPC UA,Data models;IEC Standards;Software;Runtime;Standards;Tools;Hardware,IEEE Journals
316,"['Others (O)', 'Integration (I)']",Enabling Smart Manufacturing by Empowering Data Integration with Industrial IoT Support,"['F. Bosi', ' A. Corradi', ' G. Di Modica', ' L. Foschini', ' R. Montanari', ' L. Patera', ' M. Solimando']",2020 International Conference on Technology and Entrepreneurship (ICTE),2020,"Industry 4.0 (I4.0) denotes the start of a new era where another industrial revolution is urged to explode. Simply put, I4.0 aims at enhancing the competitiveness in the manufacturing industry, while at the same time improving the safety and security of work centers. The achievement of that goal is bound to the adoption of enabling information technologies (IoT, Cloud, Big Data) to build a unified and integrated view of the information generated at all stages of the industrial processes, both operational and business oriented ones. This paper focuses on the need for manufacturing companies of tools that concretely implement this data integration as a requirement to enforce the improvements fostered and needed by the I4.0 revolution. This paper follows a former work that proposed the design and implementation of a platform realizing the integration of the operational and the business views at the data level. We enhanced the existing platform features by introducing new component that implements the interface with IoT devices via well-known communication protocols, namely MQTT and AMQP. Experiments run to test the newly introduced feature show the viability of the proposed approach with respect to the time constraints that are typical of a manufacturing production environment.",Industry 4.0;Smart Manufacturing;RAMI 4.0;SCADA;OPC-UA;Cyber-Physical Systems;Cloud-enabled Data Collection;MQTT;AMQP,Protocols;Industries;Security;Business;Production;Data mining;Manufacturing,IEEE Conferences
317,['Diagnostic and Monitoring (DM)'],A Cloud-based Architecture for Condition Monitoring based on Machine Learning,"['F. ArÃ©valo', ' M. R. Diprasetya', ' A. Schwung']",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),2018,"In the framework of the digitalization of the industry, there is an increasing trend to use machine learning techniques to assess condition monitoring, fault detection, and process optimization. Traditional approaches use a local Information Technology (IT) framework centralized in a server in order to provide these services. Cost of equipment and IT manpower are associated with the implementation of a condition monitoring based on machine learning. Nowadays, cloud computing can replace local IT frameworks with a remote service, which can be paid according to the customer needs. This paper proposes a cloud-based architecture for condition monitoring based on machine learning, which the end-user can assess through a web application. The condition monitoring is implemented using a fusion of classification methods. The fusion is implemented using Dempster-Shafer Evidence Theory (DSET). The results show that the use of DSET improves the overall result.",Cloud-based Architecture;Condition Monitoring;Machine Learning;IaaS;MQTT;OPC-UA;DSET,Cloud computing;Automation;Software;Servers;Condition monitoring;Machine learning;Databases,IEEE Conferences
318,['Performance Analysis (PA)'],Multi-Objective Design Space Exploration for the Integration of Advanced Analytics in Cyber-Physical Production Systems,"['J. Bakakeu', ' J. Fuchs', ' T. Javied', ' M. Brossog', ' J. Franke', ' H. Klos', ' W. Eberlein', ' S. Tolksdorf', ' J. Peschke', ' L. Jahn']",2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2018,"The integration of advanced data analytics in manufacturing systems has shown impressive results in various fields, including fault diagnosis, predictive maintenance, energy management, and manufacturing system control. However, due to the distributed nature of analytics algorithms and the growing complexity of modern production systems, the performance and the cost of such systems highly depends on the underlying system architecture. Therefore, it is mandatory that system architects systematically explore and evaluate all architectural alternatives of the highly constrained design space defined by the systems functional and economical objectives. This paper presents a design-space-exploration method that not only generates different implementation alternatives, but also provides a formal performance analysis of the generated solutions. By analyzing the architecture of a manufacturing system as well as the data flow graph model of a data analytics algorithm, we automatically allocate, synthesize, and generate different simulatable software solutions to efficiently compute and visualize data analytics algorithms on the shop floor. This approach allows the user to evaluate different architectural implementation during the design phase, to select a solution according to its requirements and to analyze the performance of the resulting system. The applicability of this method is also demonstrated by means of a real world example.",design space exploration;evolutionary algorithm;multi-objective optimization;OPC UA;cyber-physical system.,Engines;Runtime;Computer architecture;Hardware;Production systems;Data analysis;Task analysis,IEEE Conferences
319,['Others (O)'],Architecture for Knowledge Exploration of Industrial Data for Integration into Digital Services,"['J. N. Weskamp', ' A. Ghosh Chowdhury', ' F. Pethig', ' L. Wisniewski']",2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS),2020,"Gaining added value from industrial data is a challenging process. It is often unknown which data is available, in what form and what it means. In addition, the infrastructure to integrate the data into appropriate services is often missing. Another challenge is the heterogeneity of solutions, technologies and infrastructure on the shop floor. This paper presents a solution that integrates industrial data based on Industrie 4.0 technologies from the shop floor and provides it to a knowledge platform. The proposed solution is working as autonomous and automated as possible. The existing data and metadata are used to automatically configure and instantiate the components of the platform. Users and Services can interact with the platform to search for required data. To achieve this, components were developed to collect data from the production. Furthermore, there is a knowledge platform where the data is prepared, stored and searched. This platform interacts with a middleware and services so that the data arrives automatically at its desired destination. The solution was evaluated through an implementation, showing that the usage of meta data is enabling a fast and easy integration of data in the digital services for Industrie 4.0.",Industry 4.0;Asset Administration Shell;Meta Data;OPC UA;Knowledge Exploration;Big Data Platform,Databases;Metadata;Semantics;Industries;Servers;Unified modeling language;Production systems,IEEE Conferences
